Device,State,Region,iVoc (V),J_0 (A),t_Blk (s),t_Eff (s),R^2
D09,init,01,0.649709888417508,2.5606194897860717e-13,0.00022160284312096218,0.00010089285347968525,0.99561718212555
D09,init,02,0.650733064425067,2.269069827226795e-13,0.00019301058658007943,0.0001002985505294906,0.9991957033015749
D09,init,03,0.6547045517152101,2.3225907952472665e-13,0.00031617640435920946,0.00012400950950856607,0.9926092610413112
D09,init,04,0.6517613645414584,2.2528611664270897e-13,0.00021783645809776803,0.00010699911909491669,0.9993601062376456
D09,init,01,0.6586937566420069,7.214476390396179e-14,0.00013090352379893175,0.0001087945456945354,0.9026080863462163
D09,init,02,0.6572134337554643,5.721455157067606e-14,0.00011222041487933766,9.851049384859825e-05,0.7887165971917618
D09,init,03,0.6573863822421118,6.942328214510083e-14,0.0001309171805083385,0.00010948198969880993,0.9293035575007407
D09,init,04,0.6596043443938374,6.343157600450437e-14,0.00012488967189399394,0.00010664095573143983,0.9036324065151222
D19,init,01,0.6938555652074259,5.93479435530772e-14,0.0018634967715049349,0.0005490245418208164,0.9918142516305339
D19,init,02,0.6915884634402918,6.529346673912918e-14,0.0016628217179762768,0.000497383605862071,0.9933352538678304
D19,init,03,0.693118783948792,6.271148867763596e-14,0.001997047723112612,0.0005388302414053181,0.9936117844494884
D19,init,04,0.6935684042112951,5.922685477704299e-14,0.0016756312345610747,0.0005321854666140202,0.9935702522143436
D19,init,01,0.6927712265075618,7.336001560679101e-14,0.0015134118108798024,0.00044670809137695367,0.35318570619673606
D19,init,02,0.6924053546836867,1.2191194930331015e-14,0.00044137392675985105,0.00038998705044576996,-0.015033424915035454
D19,init,03,0.6924251664425222,8.349733447411975e-14,0.0027039394471374788,0.0004630303549947995,0.2641900152679213
D19,init,04,0.6926749982672035,1.2624762540190909e-14,0.00046076896699547205,0.00040356950878887626,-0.015363339466663017
D23,init,01,0.7047746416464954,2.296716352075229e-14,0.0008110658435957381,0.0005691996820156032,0.9841437534614492
D23,init,02,0.7060070841036294,2.331345594631673e-14,0.0008766647425205441,0.0005981445909924097,0.9793105898961336
D23,init,03,0.7085448615950394,2.237263405281362e-14,0.0010075053725731556,0.0006648832119034244,0.9825540943286649
D23,init,04,0.7061282951098629,2.2937815427557038e-14,0.000859902594165844,0.0005930439038193508,0.9805805249393468
D23,init,01,0.7028475413919332,2.784385056723185e-14,0.0006789245424664253,0.00047645875983244194,0.9566997932338351
D23,init,02,0.7031436831215871,2.782652885826346e-14,0.0007334742201087619,0.0005027874632732014,0.9889024009512154
D23,init,03,0.7020798069329568,3.036716953925156e-14,0.0003484976674023051,0.00028183836577386933,0.726415003218458
D23,init,04,0.7034814964279953,2.988644734837011e-14,0.0007271173281732548,0.0004892575680947954,0.9636305016996612
D36,init,01,0.6842743411155562,8.483782463066993e-14,0.10000000965434609,0.0005470787824748975,0.9415034258490342
D36,init,02,0.6853131205897797,8.029995352393988e-14,0.1000000124748607,0.0005770394429799017,0.9406891555727045
D36,init,03,0.6840970050259392,8.4944418370216e-14,0.1000000096436046,0.0005464123656639111,0.9419203265046754
D36,init,04,0.6863912372030173,7.621875358145865e-14,0.10000001242580049,0.0006069330277357671,0.9408200415379957
D36,init,01,0.6849690526853364,1.0391814615798143e-13,0.10966278682684254,0.0004492239451888166,0.02191922898409604
D36,init,02,0.6851956740859939,9.031326273910602e-14,0.10000002321887921,0.0005148255890991487,0.4471943888109139
D36,init,03,0.6857773645637056,9.016269998603251e-14,0.10000000807875921,0.0005156615501975585,0.4457961367559894
D36,init,04,0.6873491859665982,8.106998194027913e-14,0.10000001103078407,0.0005717263875395763,0.9432178037310339
D45,init,01,0.6785750391233573,4.3247080256566894e-14,0.0003257806478305201,0.0002489049432758009,0.8528616327274413
D45,init,02,0.6534291798461739,1.1001782784977823e-13,0.00014718994470489286,0.00010942768254333161,0.8675413430002954
D45,init,03,0.6729169557163135,6.765325644622094e-14,0.0003259177704457313,0.0002209092725380016,0.8735589050558382
D45,init,04,0.6498749926286189,1.2278003724462493e-13,0.0001272921471686698,9.55349794728731e-05,0.8748928925922006
D45,init,01,0.6748030731617048,7.16161711146407e-14,0.00035135261373871104,0.00022791960655109238,0.8882561012143345
D45,init,02,0.6603965700777656,1.2430996077025968e-13,0.00022750725351897437,0.00014206790206014826,0.796237947367187
D45,init,03,0.6563686754078016,1.0998960575489278e-13,0.0001617837984783782,0.00011730189489077244,0.8186662702383085
D45,init,04,0.650833186022932,7.088306608253982e-14,0.00010748405045013482,9.233830404222385e-05,0.7650575978030181
